,deprotonated microstate ID,protonated microstate ID,deprotonated microstate smiles,protonated microstate smiles,AM1BCC partial charge (prot. atom),AM1BCC partial charge (deprot. atom),AM1BCC partial charge (prot. atoms 1 bond away),AM1BCC partial charge (deprot. atoms 1 bond away),AM1BCC partial charge (prot. atoms 2 bond away),AM1BCC partial charge (deprot. atoms 2 bond away),Gasteiger partial charge (prot. atom),Gasteiger partial charge (deprot. atom),Gasteiger partial charge (prot. atoms 1 bond away),Gasteiger partial charge (deprot. atoms 1 bond away),Gasteiger partial charge (prot. atoms 2 bond away),Gasteiger partial charge (deprot. atoms 2 bond away),Extented Hückel partial charge (prot. atom),Extented Hückel partial charge (deprot. atom),Extented Hückel partial charge (prot. atoms 1 bond away),Extented Hückel partial charge (deprot. atoms 1 bond away),Extented Hückel partial charge (prot. atoms 2 bond away),Extented Hückel partial charge (deprot. atoms 2 bond away),∆G_solv (kJ/mol) (prot-deprot),SASA (Shrake),SASA (Lee),Bond Order,Change in Enthalpy (kJ/mol) (prot-deprot),pKa,href,num ionizable groups,Weight,pKa source
2854,2-hydroxy-benzoic acid_micro001,2-hydroxy-benzoic acid_micro000,O=C([O-])c1ccccc1O,O=C([O-])c1ccccc1[OH2+],-0.7232550382614136,-0.43879997730255127,0.16458000242710114,0.14329500496387482,-0.21220751106739044,-0.19877250492572784,-0.5928518122491511,-0.5072660744520336,0.262534062704415,0.12412090067396246,0.06331071577190886,0.009732166305146384,-0.05131787652659086,-0.7403407599780014,0.5179856303977076,0.5451122425326631,-0.05306516775524716,-0.0578602096640715,309.6260799056641,9.605733697616152,9.948248388593331,0.6043305969032581,0.4635673421506566,13.5,OChem/ochem_database.pkl,1.0,138.031694052,
2855,4'-bromo-biphenyl-2-ol_micro001,4'-bromo-biphenyl-2-ol_micro000,Oc1ccccc1-c1ccc(Br)cc1,[OH2+]c1ccccc1-c1ccc(Br)cc1,-0.49466001987457275,-0.49625498056411743,-0.01460999995470047,0.14107000827789307,-0.05414499994367361,-0.14254000037908554,-0.5928822776641157,-0.5073115203250136,0.2612823945405863,0.12289838699643388,0.055559867419530104,0.0019576595238782277,-0.06646362816378952,-0.7592577295933437,0.42928114645136545,0.46365115977708626,-0.027402103598978537,-0.032117854425774736,5.039712112854005,10.09833542569903,10.16315578825918,0.6055838598858723,1.6556774648388104,10.96,OChem/ochem_database.pkl,1.0,248.99095346009,
2856,4'-nitro-biphenyl-2-ol_micro001,4'-nitro-biphenyl-2-ol_micro000,O=[N+]([O-])c1ccc(-c2ccccc2O)cc1,O=[N+]([O-])c1ccc(-c2ccccc2[OH2+])cc1,-0.4896849989891052,-0.49580496549606323,-0.009634997695684433,0.14560499787330627,-0.061335000209510326,-0.1501300036907196,-0.5928822775143353,-0.507311520100173,0.26128245229873776,0.12289844364788698,0.05556341039483992,0.0019611984616631356,-0.06256642757079958,-0.7573794614815117,0.44725244106577733,0.48517313227448666,-0.02442960914864999,-0.02812270127939219,5.283912164099121,9.605733697616152,10.038668608084532,0.6060592870671023,2.629286364273845,10.42,OChem/ochem_database.pkl,1.0,216.06551960009,
2857,2-(2-hydroxybenzyl)-phenol_micro001,2-(2-hydroxybenzyl)-phenol_micro000,Oc1ccccc1Cc1ccccc1O,Oc1ccccc1Cc1ccccc1[OH2+],-0.4822700023651123,-0.4964450001716614,-0.03129999712109566,0.12575000524520874,-0.07439499907195568,-0.1543775014579296,-0.5931187744407733,-0.5076635700963628,0.2568697217964021,0.11860364785679466,0.0427830216717775,-0.01077969561432972,-0.0707019965600212,-0.7629959272824357,0.4190242777990806,0.4506657564340772,-0.018254384580442217,-0.021937846099473173,5.925884244958496,10.59093715378191,10.39925001889536,0.6094985734220921,-0.9610225102233945,7.8,OChem/ochem_database.pkl,1.0,201.09100607609,
2858,Pyrocatechine_micro001,Pyrocatechine_micro000,Oc1ccccc1O,Oc1ccccc1[OH2+],-0.4669850170612335,-0.4772849678993225,-0.06532000005245209,0.10199499875307083,0.04152749851346016,-0.041450005024671555,-0.5907046240132958,-0.5042601246702529,0.2960657310841718,0.15688318072542773,0.12472531882232417,0.07027133181668946,-0.057323220230990526,-0.7600121912085607,0.40074867115106755,0.43417376176912265,0.18145746986105007,0.17897608235070656,6.344832079797371,10.09833542569903,9.780158163292393,0.608016235716438,2.424506866360507,9.4,OChem/ochem_database.pkl,1.0,111.04405588409,
2859,Pyrocatechine_micro001,Pyrocatechine_micro000,[O-]c1ccccc1O,[O-]c1ccccc1[OH2+],-0.44705501198768616,-0.5074650049209595,-0.31894999742507935,-0.09791499376296997,0.2622550129890442,0.21297499537467957,-0.5937546773207363,-0.5086118021448163,0.2453174688287031,0.1072648927442707,0.011429333545694677,-0.043278978157207965,-0.058447099660751504,-0.7630322394239377,0.4019462443677096,0.43310932938292784,0.21290472477049988,0.21215232510903878,5.305876619104005,10.34463628974047,10.430884178844149,0.6051949091326144,5.072840918806735,11.8,OChem/ochem_database.pkl,1.0,110.036779432,
2860,"2-Hydroxy-2,4,6-cycloheptatrien-1-one_micro001","2-Hydroxy-2,4,6-cycloheptatrien-1-one_micro000",O=c1cccccc1O,O=c1cccccc1[OH2+],-0.5066750049591064,-0.4734799861907959,-0.13354000449180603,0.06566499918699265,0.30139249935746193,0.17600001394748688,-0.590559880248981,-0.5041216778415821,0.3017165193162995,0.1625686306622832,0.15510935651784613,0.10173991297330841,-0.03807828710911034,-0.7433291894930647,0.5446488319345554,0.5756972631598863,0.3488026576315055,0.34670971485207525,-233.13929914877932,9.359432833574711,10.093937585019564,0.6084194482302728,1.1548382477167507,7.0,OChem/ochem_database.pkl,1.0,123.04405588409,
2861,2-hydroxypyridine_micro001,2-hydroxypyridine_micro000,Oc1ccccn1,Oc1cccc[nH+]1,-0.11845999956130981,-0.7037150263786316,0.12257999647408724,0.5258674919605255,-0.23780624940991402,-0.47165001928806305,-0.17996744720272154,-0.22227600231292152,0.26648451586811267,0.1204928896561092,-0.14682135503699875,-0.18974411295440766,-0.016642788413047813,-0.833829260513795,0.5557488693835808,0.5819113314831137,-0.23461543619974162,-0.44423123149847876,-12.166526067675782,11.822441473989109,11.586471937076098,0.7044859271296272,0.38708804289155124,0.75,OChem/ochem_database.pkl,2.0,96.04439023209,
2862,3-hydroxypyridine_micro001,3-hydroxypyridine_micro000,Oc1cccnc1,Oc1ccc[nH+]c1,-0.047724999487400055,-0.6435750126838684,-0.07159999758005142,0.36063750088214874,-0.006939999759197235,-0.2938366749634345,-0.21466112280767352,-0.2608713766863113,0.18773077337724214,0.047792847902234155,-0.009780811092894628,-0.05588432163251588,0.027278273735088714,-0.793743016997763,0.2742355738608115,0.3019790084279226,0.15043171047740503,-0.12922806147192675,-4.150110672558597,11.329839745906229,11.603013481083147,0.7086760519539737,-0.1768770108236803,4.8,OChem/ochem_database.pkl,2.0,96.04439023209,
2863,2-Hydroxybenzimidazole_micro001,2-Hydroxybenzimidazole_micro000,Oc1nc2ccccc2[nH]1,Oc1[nH]c2ccccc2[nH+]1,-0.20715999603271484,-0.6074600219726562,0.2161325067281723,0.3939649909734726,-0.22080200016498566,-0.37489000111818316,-0.20340820800428128,-0.1954864328616554,0.31201457421305273,0.1919044531996294,-0.13791894038591807,-0.18986062745216697,-0.18637519908693803,-1.02126111343378,0.630431559504387,0.6591016212821197,-0.19080483022137634,-0.36102626416059225,-10.566131715820319,11.822441473989109,12.282230214466027,0.7069584546668041,2.241271542549111,2.4,OChem/ochem_database.pkl,3.0,135.05528926409,
